Date,Price,Open,High,Low,Vol.,Change %
28-May-21,"35,662.50","38,543.20","38,844.10","34,772.40",199.58K,-7.17%
27-May-21,"38,417.30","39,249.00","40,322.20","37,190.80",122.93K,-2.12%
26-May-21,"39,249.20","38,375.70","40,750.00","37,847.00",153.80K,2.27%
25-May-21,"38,378.30","38,753.60","39,740.80","36,540.70",163.01K,-0.96%
24-May-21,"38,750.60","34,720.30","39,851.70","34,474.60",244.88K,11.74%
23-May-21,"34,679.70","37,446.80","38,248.70","31,192.40",325.73K,-7.39%
22-May-21,"37,448.30","37,291.00","38,776.00","35,314.90",185.83K,0.40%
21-May-21,"37,297.40","40,611.20","42,108.30","33,592.30",315.50K,-8.40%
20-May-21,"40,717.20","36,706.80","42,425.90","35,010.40",269.75K,10.88%
19-May-21,"36,720.50","42,898.30","43,516.60","30,261.70",607.10K,-14.40%
18-May-21,"42,897.30","43,538.50","45,770.90","42,293.90",154.96K,-1.48%
17-May-21,"43,541.30","46,424.20","46,545.40","42,201.50",274.76K,-6.21%
16-May-21,"46,426.40","46,729.30","49,764.30","43,920.80",180.07K,-0.60%
15-May-21,"46,708.80","49,839.10","50,640.90","46,650.20",131.91K,-6.28%
14-May-21,"49,839.80","49,704.90","51,459.20","48,874.00",118.84K,0.27%
13-May-21,"49,704.60","49,398.20","51,337.30","46,331.10",236.71K,0.65%
12-May-21,"49,384.20","56,694.50","57,938.50","49,187.00",160.74K,-12.90%
11-May-21,"56,695.70","55,846.10","56,871.10","54,550.40",96.47K,1.52%
10-May-21,"55,848.90","58,251.20","59,523.90","53,678.30",142.61K,-4.10%
9-May-21,"58,238.30","58,840.60","59,227.00","56,414.40",103.59K,-1.02%
8-May-21,"58,840.10","57,330.30","59,471.10","56,972.20",101.27K,2.62%
7-May-21,"57,337.20","56,411.40","58,639.30","55,300.10",110.01K,1.65%
6-May-21,"56,405.40","57,441.00","58,364.90","55,294.50",109.02K,-1.80%
5-May-21,"57,441.30","53,872.50","57,936.40","53,872.50",119.82K,6.88%
4-May-21,"53,741.50","57,170.60","57,201.30","53,741.50",132.33K,-6.00%
3-May-21,"57,169.80","56,605.80","58,925.10","56,562.40",89.24K,1.00%
2-May-21,"56,603.80","57,807.20","57,868.40","56,110.50",53.61K,-2.08%
1-May-21,"57,807.10","57,719.10","58,449.40","57,029.50",63.41K,0.15%
30-Apr-21,"57,720.30","53,562.30","57,925.60","53,088.70",103.74K,7.77%
29-Apr-21,"53,560.80","54,838.60","55,173.70","52,400.00",83.90K,-2.34%
28-Apr-21,"54,841.40","55,036.00","56,419.90","53,876.40",86.96K,-0.35%
27-Apr-21,"55,036.50","54,011.10","55,427.80","53,345.00",84.08K,1.88%
26-Apr-21,"54,020.50","48,963.50","54,320.90","48,815.90",129.76K,10.33%
25-Apr-21,"48,963.60","50,088.20","50,532.40","47,098.50",59.20K,-2.25%
24-Apr-21,"50,088.90","51,140.80","51,183.00","48,775.20",82.25K,-2.06%
23-Apr-21,"51,143.60","51,707.10","52,099.90","47,659.40",214.46K,-1.13%
22-Apr-21,"51,729.50","53,821.30","55,408.40","50,590.90",168.13K,-3.88%
21-Apr-21,"53,820.20","56,479.50","56,764.40","53,657.60",100.26K,-4.71%
20-Apr-21,"56,483.20","55,645.10","57,054.90","53,422.50",115.49K,1.50%
19-Apr-21,"55,646.10","56,208.10","57,517.00","54,272.30",117.51K,-1.00%
18-Apr-21,"56,207.10","60,043.20","60,362.10","51,817.60",216.81K,-6.39%
17-Apr-21,"60,041.90","61,358.30","62,509.10","59,672.10",84.08K,-2.18%
16-Apr-21,"61,379.70","63,211.60","63,518.50","60,027.30",136.85K,-2.90%
15-Apr-21,"63,216.00","62,978.60","63,729.10","62,067.50",76.97K,0.37%
14-Apr-21,"62,980.40","63,544.20","64,778.00","61,366.30",130.43K,-0.88%
13-Apr-21,"63,540.90","59,863.60","63,659.00","59,839.40",126.56K,6.14%
12-Apr-21,"59,863.80","59,982.10","61,259.90","59,569.20",81.88K,-0.19%
11-Apr-21,"59,978.70","59,772.40","60,667.10","59,250.30",58.20K,0.39%
10-Apr-21,"59,748.40","58,127.40","61,229.00","57,900.00",103.72K,2.80%
9-Apr-21,"58,118.70","58,076.80","58,890.90","57,686.00",59.22K,0.07%
8-Apr-21,"58,077.40","55,948.00","58,136.70","55,721.60",64.78K,3.80%
7-Apr-21,"55,948.70","57,996.30","58,627.70","55,489.30",110.69K,-3.53%
6-Apr-21,"57,996.30","59,169.00","59,487.00","57,403.30",77.15K,-1.69%
5-Apr-21,"58,993.40","58,202.30","59,205.10","56,842.70",54.13K,1.36%
4-Apr-21,"58,199.90","57,059.70","58,464.80","56,470.60",57.21K,2.00%
3-Apr-21,"57,059.90","58,976.80","59,770.50","56,906.70",68.74K,-3.25%
2-Apr-21,"58,977.30","58,718.20","60,134.90","58,466.50",72.37K,0.44%
1-Apr-21,"58,718.30","58,763.20","59,406.50","58,040.70",69.04K,-0.08%
31-Mar-21,"58,763.70","58,771.40","59,795.60","56,991.60",98.06K,-0.01%
30-Mar-21,"58,771.30","57,614.60","59,366.90","57,077.10",86.21K,2.00%
29-Mar-21,"57,616.20","55,764.70","58,392.60","54,951.10",107.91K,3.32%
28-Mar-21,"55,765.20","55,856.90","56,504.20","54,711.30",58.71K,-0.17%
27-Mar-21,"55,862.90","55,033.80","56,531.10","54,010.20",73.87K,1.50%
26-Mar-21,"55,036.10","51,317.40","55,074.10","51,302.00",100.30K,7.24%
25-Mar-21,"51,322.30","52,330.00","53,175.40","50,441.30",143.35K,-1.92%
24-Mar-21,"52,325.40","54,309.10","57,169.40","51,725.40",137.91K,-3.91%
23-Mar-21,"54,452.50","54,117.50","55,813.80","52,992.30",84.84K,0.54%
22-Mar-21,"54,158.30","57,379.30","58,379.90","53,784.20",95.53K,-5.62%
21-Mar-21,"57,383.80","58,097.40","58,583.80","55,583.30",77.47K,-1.22%
20-Mar-21,"58,093.40","58,084.10","59,882.10","57,863.00",67.83K,0.01%
19-Mar-21,"58,088.00","57,645.00","59,448.30","56,305.10",83.98K,0.75%
18-Mar-21,"57,656.00","58,911.80","60,088.00","57,099.60",102.62K,-2.13%
17-Mar-21,"58,913.50","56,892.90","58,933.20","54,253.20",118.26K,3.56%
16-Mar-21,"56,889.70","55,619.50","56,889.70","53,342.60",128.51K,1.97%
15-Mar-21,"55,791.30","59,117.40","60,565.90","55,088.80",117.71K,-5.62%
14-Mar-21,"59,113.70","61,192.70","61,673.70","59,113.70",80.29K,-3.40%
13-Mar-21,"61,195.30","57,267.40","61,795.80","56,118.80",134.64K,6.86%
12-Mar-21,"57,265.10","57,806.20","58,052.30","55,134.50",116.96K,-0.92%
11-Mar-21,"57,799.50","55,851.20","58,135.00","54,351.80",129.63K,3.49%
10-Mar-21,"55,851.90","54,882.70","57,328.70","53,073.60",140.96K,1.77%
9-Mar-21,"54,879.00","52,352.40","54,880.60","51,941.30",114.06K,4.91%
8-Mar-21,"52,311.00","50,988.90","52,384.90","49,338.10",68.14K,2.61%
7-Mar-21,"50,982.30","48,899.00","51,434.10","48,890.60",82.91K,4.35%
6-Mar-21,"48,855.60","48,798.70","49,191.80","47,132.80",66.66K,0.13%
5-Mar-21,"48,792.50","48,363.60","49,429.40","46,370.10",113.64K,0.75%
4-Mar-21,"48,428.00","50,388.00","51,757.70","47,521.80",9.56K,-3.90%
3-Mar-21,"50,395.10","48,422.20","52,567.90","48,159.20",44.93K,4.07%
2-Mar-21,"48,424.20","49,595.60","50,191.90","47,100.60",102.10K,-2.36%
1-Mar-21,"49,595.50","45,160.50","49,774.00","45,008.80",137.52K,9.81%
28-Feb-21,"45,164.00","46,136.00","46,582.00","43,100.60",135.08K,-2.11%
27-Feb-21,"46,136.70","46,333.10","48,335.10","45,059.40",98.75K,-0.45%
26-Feb-21,"46,345.60","46,928.50","48,413.90","44,248.20",189.41K,-1.24%
25-Feb-21,"46,928.50","49,695.90","52,013.80","46,773.70",83.22K,-5.57%
24-Feb-21,"49,697.50","48,911.10","51,311.80","47,031.70",153.75K,1.61%
23-Feb-21,"48,911.20","54,114.10","54,115.00","45,093.80",315.07K,-9.61%
22-Feb-21,"54,111.80","57,437.60","57,480.80","48,353.80",244.95K,-5.78%
21-Feb-21,"57,433.80","55,907.60","58,335.10","55,502.70",87.26K,2.70%
20-Feb-21,"55,923.70","55,922.00","57,523.80","54,124.10",127.85K,0.03%
19-Feb-21,"55,906.60","51,590.10","56,238.50","50,816.80",139.43K,8.38%
18-Feb-21,"51,582.20","52,094.50","52,524.00","50,941.60",94.35K,-0.95%
17-Feb-21,"52,079.20","49,161.30","52,577.70","49,018.10",140.03K,5.92%
16-Feb-21,"49,169.70","47,934.20","50,515.80","47,044.40",141.37K,2.57%
15-Feb-21,"47,936.30","48,611.10","48,936.50","45,786.10",123.18K,-1.45%
14-Feb-21,"48,643.40","47,172.10","49,695.10","47,051.90",106.50K,3.13%
13-Feb-21,"47,168.70","47,373.10","48,097.30","46,270.50",89.42K,-0.43%
12-Feb-21,"47,371.70","47,995.00","48,927.40","46,218.60",133.73K,-1.29%
11-Feb-21,"47,990.70","44,834.80","48,622.10","44,041.10",145.77K,7.04%
10-Feb-21,"44,836.00","46,507.80","47,295.30","43,800.50",151.83K,-3.60%
9-Feb-21,"46,508.60","46,396.40","48,143.50","45,104.70",193.87K,0.24%
8-Feb-21,"46,395.70","38,853.60","46,596.40","38,057.00",248.47K,19.41%
7-Feb-21,"38,852.90","39,228.90","39,691.70","37,381.60",125.37K,-1.03%
6-Feb-21,"39,256.60","38,300.60","40,939.70","38,275.30",156.02K,2.50%
5-Feb-21,"38,297.60","36,976.40","38,303.60","36,640.00",100.60K,3.56%
4-Feb-21,"36,982.10","37,648.90","38,707.90","36,380.80",151.44K,-1.77%
3-Feb-21,"37,646.80","35,486.90","37,646.80","35,401.50",131.03K,6.09%
2-Feb-21,"35,485.20","33,514.00","35,976.10","33,462.40",120.85K,5.88%
1-Feb-21,"33,515.70","33,106.80","34,685.60","32,324.90",126.32K,1.23%
31-Jan-21,"33,108.10","34,281.60","34,348.30","32,189.90",101.92K,-3.43%
30-Jan-21,"34,283.10","34,300.00","34,920.90","32,908.50",128.57K,-0.05%
29-Jan-21,"34,301.80","33,381.70","38,546.00","31,953.30",297.73K,2.78%
28-Jan-21,"33,374.80","30,408.90","33,790.80","29,911.90",167.39K,9.77%
27-Jan-21,"30,404.00","32,499.60","32,545.40","29,290.40",194.35K,-6.46%
26-Jan-21,"32,502.10","32,244.10","32,917.70","30,850.00",139.84K,0.77%
25-Jan-21,"32,252.30","32,244.30","34,854.30","31,967.40",142.43K,0.03%
24-Jan-21,"32,241.30","32,088.50","33,034.80","30,982.90",88.21K,0.47%
23-Jan-21,"32,088.90","32,994.10","33,441.40","31,418.20",100.70K,-2.76%
22-Jan-21,"33,000.50","30,838.70","33,821.20","28,871.20",243.09K,7.00%
21-Jan-21,"30,842.10","35,472.30","35,591.10","30,101.80",253.27K,-13.06%
20-Jan-21,"35,476.30","35,862.10","36,384.40","33,444.50",153.61K,-1.46%
19-Jan-21,"36,002.90","36,630.60","37,821.00","36,001.40",79.11K,-1.67%
18-Jan-21,"36,613.20","35,838.20","37,436.80","34,801.00",111.52K,2.16%
17-Jan-21,"35,839.60","36,020.10","36,801.30","33,883.50",126.82K,-0.50%
16-Jan-21,"36,019.50","36,751.80","37,931.70","35,408.40",137.02K,-2.24%
15-Jan-21,"36,845.80","39,175.70","39,715.00","34,488.70",118.42K,-5.95%
14-Jan-21,"39,175.70","37,383.40","40,054.30","36,772.10",172.40K,4.80%
13-Jan-21,"37,382.20","34,061.20","37,764.60","32,451.90",209.93K,9.70%
12-Jan-21,"34,076.10","35,426.00","36,598.70","32,572.70",241.93K,-4.13%
11-Jan-21,"35,544.30","38,195.30","38,217.20","30,411.60",251.04K,-6.93%
10-Jan-21,"38,192.20","40,149.70","41,362.40","35,141.60",215.78K,-4.88%
9-Jan-21,"40,151.90","40,607.20","41,363.50","38,775.10",128.42K,-1.10%
8-Jan-21,"40,599.30","39,466.40","41,921.70","36,613.40",251.29K,2.89%
7-Jan-21,"39,460.20","36,798.50","40,340.90","36,361.20",249.60K,7.25%
6-Jan-21,"36,793.20","33,999.30","36,934.80","33,408.30",227.56K,8.24%
5-Jan-21,"33,991.50","32,015.40","34,414.70","30,010.50",202.13K,6.15%
4-Jan-21,"32,022.60","33,016.60","33,587.50","28,204.50",255.27K,-2.84%
3-Jan-21,"32,958.90","32,192.90","34,755.90","32,029.60",155.21K,2.38%
2-Jan-21,"32,193.30","29,359.70","33,233.50","29,008.00",240.87K,9.65%
1-Jan-21,"29,359.90","28,951.70","29,627.10","28,712.40",100.90K,1.42%
